date,value
2020/05/01,289.76
2020/05/01,289.29
2020/05/01,289.29
2020/05/01,289.07
2020/05/01,289.17
2020/05/01,289.13
2020/05/01,288.98
2020/05/01,289.07
2020/05/01,289.17
2020/05/04,293.17
2020/05/04,293.36
2020/05/04,293.46
2020/05/04,293.16
2020/05/04,293.51
2020/05/04,289.61
2020/05/04,293.53
2020/05/04,293.16
2020/05/04,293.65
2020/05/05,297.62
2020/05/05,297.78
2020/05/05,297.82
2020/05/05,297.5
2020/05/05,297.56
2020/05/05,297.8
2020/05/05,297.62
2020/05/05,297.54
2020/05/05,297.56
2020/05/05,297.71
2020/05/06,300.5
2020/05/06,300.51
2020/05/06,300.67
2020/05/06,300.63
2020/05/06,300.72
2020/05/06,300.94
2020/05/06,300.63
2020/05/06,300.87
2020/05/07,303.75
2020/05/07,303.74
2020/05/07,303.74
2020/05/07,303.71
2020/05/07,303.39
2020/05/07,303.81
2020/05/07,303.74
2020/05/07,303.43
2020/05/07,303.75
2020/05/08,309.75
2020/05/08,310.15
2020/05/08,309.89
2020/05/08,310.13
2020/05/08,310.06
2020/05/08,310.09
2020/05/08,309.98
2020/05/08,310.13
2020/05/08,310.04
